sentences	ADR	WD	EF	INF	SSI	DI
Not feeling to well right now to say the least!	0	0	0	1	0	0
I wish I could give this time to kick in but really I had problems while I was at work today and can't do the adjustment period.	1	0	0	0	0	0
There is synergism (works well together) with the two antidepressants.	0	0	0	0	0	0
I was depressed for years but left it untreated.	0	0	0	0	1	0
I definitely don't think the good outweighs the bad.	1	0	0	0	0	0
But after my body adjusted, I did notice quite a difference in my anxiety, and length of dressions bouts.	0	0	1	0	1	1
I got a lot worse after going on Zoloft.	0	0	0	1	0	0
Stomach is in knots, tension in the front part of my head, shakiness, blurred vision.	1	0	0	0	0	0
I swear these shock effects never go away!	0	1	0	0	0	0
I started with 5mg a day and worked up to 10mg a day after a couple of weeks.	0	0	0	0	0	0
Was on this for several years, had back surgery and wanted to quit Effexor because I was no longer depressed or in pain.	0	0	1	0	1	1
This med should never have been approved by FDA. 	0	0	0	0	0	0
Of course my own research proved her theory patently untrue.	0	0	0	0	0	0
Better than wanting to OD, I suppose.	0	0	0	0	0	0
THE WITH DRAWS OF THE MED IS SO INTENCE.	0	1	0	0	0	0
It helped my depression tremendously, but sexual side effects are severe in my case.	1	0	1	0	1	1
No matter what happened, I didnt seem to react.	1	0	0	0	0	0
I had to d/c my meds a few days before a neck myelogram and had a very bad reaction to the lack of Effexor in my system.	0	1	0	0	0	0
Emotionally and sexually flat-lined.	1	0	0	0	0	0
It's a very good drug.	0	0	1	0	0	0
I am so afraid of the withdrawal & aftermath that I may be taking it the rest of my life.	0	0	0	0	0	0
i can only hoope it works as well for others as it did for me.	0	0	1	0	0	0
extreme ongoing and continual nausea, delayed orgasm, numb hands & feet.	1	0	0	0	0	0
It is a feeling difficult to describe, everyone is different, you will know it if you ever experience it.	0	0	0	0	0	0
I have tried many different drugs, Effexor being the most recent.	0	0	0	0	0	0
I have been experiencing insomnia due to it, but with 25mg of Trazodone, that's evened out wonderfully.	1	0	0	0	0	0
major nausea and vomiting the first week and a half for me, extreme dizziness.	1	0	0	0	0	0
I have aches and pains as if I have the flu.	1	0	0	0	0	0
The side effects of coming off this drug are hell.	0	1	0	0	0	0
After 2 months I am feeling mentally normal again.	0	0	1	0	0	0
if you do, please email me!	0	0	0	0	0	0
This went on for 6 months!	0	0	0	0	0	0
My doctor begged me to tough it out.	0	0	0	0	0	0
The risks/side effects are not worth the inital relief.	1	0	0	0	0	0
my mood swings were extreme , yelling, cursing, swearing .	1	0	0	0	0	0
The first two or three days, I felt dizzy and tired.	1	0	0	0	0	0
IT IS POISON.	0	0	0	0	0	0
I also didn't like the weird feelings when I first started so I took half doses until I got used to them and then moved to the full dose.	1	0	0	0	0	0
Zoloft helped me a great deal, really helped me get out of a deep depression.	0	0	1	0	1	1
I wouldn't deter people from taking it.	0	0	0	0	0	0
I am up and down on this medication in general.	0	0	0	0	0	0
Uneven temperment, lack of patience if I skip several doses.	0	1	0	0	0	0
I was like a new person!	0	0	1	0	0	0
And I gained 24 pounds, have no sexual desire and still have moody days.	1	0	0	1	1	1
Other than an initial difficulty reaching orgasm I've had no problems achieving orgasm after the first 4-6 weeks of being on Lexapro.	1	0	0	0	0	0
felt more motivated Daily.	0	0	1	0	0	0
I was very suicidal when put on Lexapro and it helped me relax a great deal, I was so much more happy on it but had to stop taking it due to it causing hair loss and it killed my sex drive and feeling.	1	0	1	0	1	1
Put on a huge amount of weight,  Constantly constipated,  Not motivation.	1	0	0	0	0	0
In Fact, I believe it should either be removed from the market or be deemed a controlled substance, not because patients would be inclined to abuse this drug, but that physicians are in an effort to improve mood and block pain without having to dispense pain medication.	0	0	0	0	0	0
My hair would be drenched by the time I got to work in the morning - even with the AC on in the car.	1	0	0	0	0	0
overall this medicine worked.	0	0	1	0	0	0
I do not get any negative effects if I take my dose a couple of hours late.	0	0	0	0	0	0
It changed my life.	0	0	1	0	0	0
Hopefully I will have better luck with something else.	0	0	0	0	0	0
Don't ever run out.	0	0	0	0	0	0
Right after i started it my crying spells stopped and suicidal thoughts were gone.	0	0	1	0	1	1
have they gotten better?	0	0	0	0	0	0
I felt drugged.	0	0	0	0	0	0
Paxil made me gain weight, and Prozach interfered with my sleep and didn't seem to do much.	0	0	0	0	0	0
I dont think I'll ever find something that makes me feel content and happy and help me stop worrying so much, without the sleepy zombie feeling.	0	0	0	0	0	0
The decreased libido is a major problem because I truly love my husband of 14 years, but I have a VERY difficult time being interested on an intimate level.	1	0	0	0	0	0
Hair loss!, rashes, sexual loss.	1	0	0	0	0	0
These effects go away in 1-3 days.	1	0	0	0	0	0
Any suggestions?	0	0	0	0	0	0
ended up physch primary care with it.	1	0	0	0	0	0
In 3 weeks it was gone, as was my anger and inability to focus.	0	0	1	0	0	0
Now am on 300mg.	0	0	0	0	0	0
I was DEAD for the next week.	0	0	0	0	0	0
I have gained weight and find it very difficult to lose it.	1	0	0	0	0	0
I do have sleeplessness but, I am willing to deal with that in exchange for the pain, weightlose and the feeling of happiness.	1	0	1	0	0	0
I have a very high tolerance for drugs, and I have been on meds almost consistently for thirteen years, trying almost everything possible.	0	0	0	0	0	0
I didn't take Lexapro long enough to evaluate it for its intended purpose, because I found the sexual side effects intolerable.	1	0	0	0	0	0
I felt like as if i am watching my life from outside, unbearable pressure and headaches in the evening, non stop nausea, no appetite, hot flashes and shivering, clamsy hands, tingling on arms and legs,electric shocks, disorientated,loss of concious memory, nigtmares, fatigue, more depressed than ever,no sex drive,i felt like a zombie in hell.	1	0	0	0	0	0
I have been on Effexor and Wellbutrin XL as well as multiple anti-anxiety and anti-seizure drugs over the past year and a half.	0	0	0	0	0	0
- I quit Cymbalta two weeks ago and I must comment that I didn't experience the horror withdrawal symptoms that everyone talks about, but perhaps because I slowly reduced my dosages.	0	0	0	0	0	0
sleeping alot about 12hours a day, coffee doesnt keep me awake anymore.	1	0	0	0	0	0
At the end of 6 weeks I still felt no difference but my best friend and boyfriend both said they noticed a difference and that I seemed to take things in stride better.	0	0	0	1	0	0
At times I felt very anxious for no reason and at different times in the day but these negative side effects paled next to the depression i was stuck in before lexapro.	1	0	1	0	1	1
but  i crave pecans, almonds etcIncreased mood SUBSTANTIALLY - although still very reactive around menstruation.	0	0	1	0	0	0
My doctor at the time sent me to 2 ENT doctors a Rhuemotogist, went to ER in Dec and Jan. Forgot to mention stuffed up nose and constant cough.	1	0	0	0	0	0
After a relapse of depression over the last year.	0	0	0	0	1	0
I have never been on any other antidepressant, and my doctor immediately put me on this.	0	0	0	0	0	0
have gained 30 lbs since I began taking this.	1	0	0	0	0	0
I loved the way I felt while I was taking it.	0	0	1	0	0	0
My experience with effexor has been a mess.	0	0	0	0	0	0
I was here looking for anyone who sensed the drug was moving them towards taking a higher dose (one friend suggested this might be the problem).	0	0	0	0	0	0
but withdrawal is a *bitch*.	0	1	0	0	0	0
Now very normal.	0	0	1	0	0	0
She always had plenty of samples to give out.	0	0	0	0	0	0
lose bowels, sexual side effects, Very effective, but if you miss a dose for 1-2 days, it can really cause problems (Dizziness, nausea)	1	1	1	0	0	0
i am worried about trying to cut down gradually as i read so much scary stuff about going off it	0	0	0	0	0	0
Now I don't feel any need to drink to reduce anxiety anymore.	0	0	1	0	1	1
love Cymbalta.	0	0	0	0	0	0
I went from being a disfunctional depressed person to moderatly happy.	0	0	1	0	1	1
The first week I was on it, I threw up every day.	1	0	0	0	0	0
I always seem to want more.	0	0	0	0	0	0
I am feeling wonderful now.	0	0	1	0	0	0
Why isn't this side effect discussed or indicated as a side effect?	0	0	0	0	0	0
I started Cymbalta after finally dragging myself to the doctor at my mother's insistence, beginning on 30mg for one week and moving up to 60mg I noticed a difference within the first week.	0	0	0	0	0	0
I feel like I finally know what it's like to be normal, and I'm so happy.	0	0	1	0	0	0
But whatever is going on in my brain is wonderful.	0	0	1	0	0	0
My appetite is back and the sexual side effects and fatigue are gone.	0	0	1	0	0	0
Slowing of cognitive thoughts, constipation(mild).	1	0	0	0	0	0
I don't know if it is related but I lost my job because of it.	1	0	0	0	0	0
HOwever, in thinking about when the pain increased, I realized that it coincided with my switch to a higher dose and XR.	0	0	0	0	0	0
I also just felt like crap for days.	0	1	0	0	0	0
Still, it worked better than Prozac, Zoloft and Paxil.	0	0	1	0	0	0
thirsty at times, no labido.	1	0	0	0	0	0
Cost is too high.	0	0	0	0	0	0
I am waking up every night absolutely soaked in sweat (I can wring out my t-shirt and have drops of sweat coming out).	1	0	0	0	0	0
It made my RLS 4xs worse.	1	0	0	0	0	0
Catatonic, no emotion.	1	0	0	0	0	0
started on 37.5mg about 3 years ago, I am now on 225mg, whenever dose is increased I begin to have severe tiredness, sleeping for 12-16 a night!	1	0	0	0	0	0
Jaw Clenching, Headache-seems to be fading, Worse Brain Fog than fibromyalgia alone, More Extreme Fatigue, loss of appetite control, seems no help with fibro pain, dry mouth, heart palpitations, urine retention?, edema.	1	0	0	0	0	0
loss of appetite, weight loss, nausea (subsided after a few days).	1	0	0	0	0	0
If I miss a dose though, I feel like I have little lightening strikes in my head.	0	1	0	0	0	0
My only worry is about weight gain.	1	0	0	0	0	0
I have gone down to 50 mg a day, and had no withdrawls.	0	0	0	0	0	0
"Wake up feeling like I've sustained a beating and feel like a bad case of the flu is coming on, And, those ""zaps"".electric shocks that make me feel like my brain quivers in the forward position for a few seconds longer than my skull does when I turn my head."	0	1	0	0	0	0
It's been 1yr now and my little baby is now 1.5 yrs old.	0	0	0	0	0	0
Brain zaps, excessive yawning, fatigue, increased appetite, vivid sexual dreams, sexual side effects.	1	0	0	0	0	0
Can't tell if it really works.	0	0	0	1	0	0
To sum it up, Cymbalta is a good medicine to try if nothing else is helping and especially if you have fibro and depression.	0	0	0	0	1	1
Think the diagnosis of cancer plus going off my progesterone threw me into depression again.	0	0	0	0	1	0
:-)	0	0	0	0	0	0
I felt horrible, my mouth tasted like metal and I could not sleep for days.	1	0	0	0	0	0
I was on 60s and did a few days of 30's and quite.	0	0	0	0	0	0
if I take 20mg, then I feel zombie-like.	1	0	0	0	0	0
weight gain,agitation,hair loss,sleep disturbance. 	1	0	0	0	0	0
I have since reduced dose to 20 mg per day.	0	0	0	0	0	0
I am assuming the Cymbalta is the cause of the clinching.	1	0	0	0	0	0
I had no desire or energy to do anything but sleep.	1	0	0	0	0	0
My depression is at an all-time low and my anxiety getting better.	0	0	1	0	1	1
caused muscle tension - especially painful jaw clenching - took myself off. 	1	0	0	0	0	0
Cannot currently sing due to my arid dry mouth and throat.	1	0	0	0	0	0
People are still having problems with this medication even after being off of it for 8 months or more,  Please don't take this medication.	0	0	0	0	0	0
Very hard to take a deep breath like someone is squeezing my lungs.	1	0	0	0	0	0
No one seems to understand why this happens, so embarrassing, even family mystified.	0	0	0	0	0	0
vision problems, the more I took it there would be vibration in my eyes, confusion.	1	0	0	0	0	0
Headaches, Nausea, Fatigue, Interrupted Sleep, Vivid Dreams, Weight Gain.	1	0	0	0	0	0
Totally removes sex drive.	1	0	0	0	0	0
Some of which were very angry outbursts,an anger I never felt before.	0	1	0	0	0	0
Too early to tell.	0	0	0	0	0	0
Just DON'T miss a dose.	0	1	0	0	0	0
I came back out into the world, and started to see my friends again.	0	0	1	0	0	0
"It took me a long time to admit to myself, and my doctor, that I was a little ""off"" (I am talking about 20+ years here)."	0	0	0	0	0	0
If I let myself get hungry, then I get nauseated.	1	0	0	0	0	0
I'd rather be normal sized and anxious than overweight, taking BP meds and insulin medication!	1	0	0	0	1	0
I had a little bit of a problem falling asleep last night.	1	0	0	0	0	0
I would not recommend taking this at all.	0	0	0	0	0	0
It is only recently I am trying to change to Wellbutrin because of the weight gain.	1	0	0	0	0	0
Reduced my anxiety and depression by at least 80%, Love it,	0	0	1	0	1	1
Started with 25mg for first 2 weeks, started with 50 mg for next 2 weeks.	0	0	0	0	0	0
Depression and fatigue still there.	0	0	0	1	1	1
Can't we treat our depression and still have an orgasm?	0	0	0	0	1	0
Some good results.	0	0	1	0	0	0
Bad vivid dreams.	1	0	0	0	0	0
It helped keep migraines at bay and I had tolerable, minimal side effects.	1	0	1	0	1	1
Got off the drug immediately.	0	0	0	0	0	0
No noticeable side effects until dosage was increased from 50 to 100mgs, then I noticed decrease in sex drive and increase in weight gain.	1	0	0	0	0	0
I recommend Lexapro very highly.	0	0	0	0	0	0
But more alarming was the sensation of pressure behind my eyes-like they were going to pop out!	1	0	0	0	0	0
EVEN AFTER GOING OFF THE DRUG .	0	0	0	0	0	0
I can't see how it can be an anti-depressant when some of the side effects are depressive thoughts and actions.	1	0	0	0	0	0
But getting off of this drug is really nasty.	0	1	0	0	0	0
Feel free to email me, I have been through it all with Effexor.	0	0	0	0	0	0
took l0 mg lexapro in combination with .5 klonpin 3x a day, eliminated a cycle of depression and anxiety I had for 2 yrs.	0	0	1	0	1	1
SEVERE night sweats and increased sweating during the day, and somewhat difficult (but not impossible) to reach orgasm.	1	0	0	0	0	0
I'm afraid to switch to another anti-depressent because the withdrawals that I've experienced from Paxil & Effexor was a nightmare and I know Zoloft has similar withdrawals.	0	1	0	0	0	0
PROBABLY PERMANENT!	0	0	0	0	0	0
I need to hang in there.	0	0	0	0	0	0
Lost some weight, keeps me from eating like I was.	1	0	0	0	0	0
My sister went on it and started having chest pain and I told her to STOP immediatly.	0	0	0	0	0	0
I think it is the worst thing I have ever taken - for almost a year I have tried to take it hinking it would help or blaming my body for the effects and now I have come to realise it is this drug / poison.	0	0	0	0	0	0
Was just taken off Celexa because it did not do anything for me except for the horrible side effects.	0	0	0	0	0	0
It increases the effect of alcohol and caffeine so I have to be careful with those.	1	0	0	0	0	0
I had pain all over my body!	1	0	0	0	0	0
I am now on Wellbutrin ( awesome ) but I am still on effexor and have decreased my dose which makes you feel outside of yourself.	0	1	0	0	0	0
In case anyone was wondering I was first on the 60mg for about two weeks and then my doctor placed me on the 30mg after I complained of Feeling that I did not feel	0	0	0	0	0	0
The intial dry mouth and headache went away in a few days.	1	0	0	0	0	0
This drug has saved my life.	0	0	1	0	0	0
I would not recommend this drug to anyone, it is not worth the hell you go through, due to the side effects.	1	0	0	0	0	0
I take the brand medication zoloft, not the generic.	0	0	0	0	0	0
muscle and joint pain.	1	0	0	0	0	0
 Despite its side effects, I find cymbalta the best choice for Depression, Anhedonia and Insomnia due to GAD.	1	0	1	0	1	1
I feel like right side of my brain is numb, neck hurts horribly, and I'm short winded.	1	0	0	0	0	0
Withdrawal similar to heroin withdrawal.	0	1	0	0	0	0
For me it was fantastic.	0	0	1	0	0	0
I would not suggest taking this medication.	0	0	0	0	0	0
you must must must gradually lower the dose by a month at a time or you will suffer TERRIBLE consequences.	0	0	0	0	0	0
Havent noticed the meds working yet, but no pains compared to celexa.	0	0	0	1	0	0
I am trying really hard to stay on it this time.	0	0	1	0	0	0
Just switched to Pristiq and hope to get rid of weight and regain sexual desire.	1	0	0	0	0	0
PLEASE	0	0	0	0	0	0
Aloha~	0	0	0	0	0	0
You aren't overly happy or overly sad, just stable.	0	0	1	0	0	0
but no real difference (some good days some bad days) with the depression.	0	0	0	1	1	1
My weight has stablised and I am seven pounds heavier than I used to be, but I have a decreased appetite.	1	0	0	0	0	0
I am keeping my fingers crossed that it will work for me as well this time around as it did the first time.	0	0	0	0	0	0
I'm 54 years old and I have responsibilities.	0	0	0	0	0	0
I plan on embracing this drug as long as I need to	0	0	0	0	0	0
Confusion, inability to concentrate, lack of motivation, no sex drive, agitation, incresed blood pressure, chronic constipation, vivid dreams, severe sweating.	1	0	0	0	0	0
I did a rapid decline on my cymbalta because I lost my insurance.	0	0	0	0	0	0
Still works for the other two.	0	0	1	0	0	0
Initial weight gain, but have since lost it.	1	0	0	0	0	0
Increased dose from 50 to 75 mg, maybe will increase to 100 mg.	0	0	0	0	0	0
Very costly.	0	0	0	0	0	0
The medication helped somewhat.	0	0	1	0	0	0
Helped me with anxiety.	0	0	1	0	1	1
all those side effects went away though after a couple weeks and now it just makes me really gassy and i think my vision has become a little more blurry, the gas is very innoying though even at night when im in bed with my boyfriend its really uncomfortable but i took an over the counter pill for gas relief and it seemed to work.	1	0	0	0	0	0
My doctor has prescribed a very low dose of Seroquel (off-label) to help the anxiety, but I haven't taken it.	0	0	0	0	1	1
I was beginning to think I'd stopped dreaming!	0	0	0	0	0	0
You really have to figure out what the right time of day is to take it.	0	0	0	0	0	0
Did nothing for my fibromyalgia- Lyrica works so much better.	0	0	0	0	0	0
"I know that I cannot quit ""cold turkey"" as withdrawals are severe."	0	1	0	0	0	0
I continue to take Lexapro, as I said I am not as easy going if I miss several doses.	0	1	1	0	0	0
I also have a horrible mountain dew addiction,but my weight gain has been small and my clothes still fit so I am not all that upset.	1	0	0	0	0	0
Dizzy, light headed, foggy brain, just stoned!	1	0	0	0	0	0
I was always thin and fit before.	0	0	0	0	0	0
I also had some really strange images while trying to go to sleep last night.	1	0	0	0	0	0
Asked my doctor for a different drug after 30 days of taking Zoloft.	0	0	0	0	0	0
I had lots of side effects the first 2-3 days of being on the 30 mg tablet, but most went away.	1	0	0	0	0	0
Never again with that drug.	0	0	0	0	0	0
started on 20 mg and was lowered to 10 also was on the generic instead of the brand name of this.	0	0	0	0	0	0
Took med for 5 years and tapered off and was without for 18 months.	0	0	0	0	0	0
Effexor gave me back my life.	0	0	1	0	0	0
in the past i have been on several medications and nothing worked as well as cymbalta	0	0	1	0	0	0
), 5)  Weak muscles 6)  Cant catch breath 7)  Listless 8)  Unmotivated 9)  Difficulty getting moving 10)  Reaction time slowed, [as in Put your hand on your solar plexus (Huh?	1	0	0	0	0	0
weight gain, muscle weakness/soreness, anxiety.	1	0	0	0	0	0
Initial withdrawal done slowly was fine, however gradually spiralled down without it.	0	1	0	0	0	0
I WANT TO ANY ONE TO PLEASE DO NO TAKE THIS VERY ADDICTING MED.	0	1	0	0	0	0
i have not started taking this yet.	0	0	0	0	0	0
If you do not feel like this drug is working, or any other AD please tell your Dr.	0	0	0	0	0	0
I could hardly get out of bed I would have lost my job, because I had already called in to work a bit and was unable to function before I started lexapro.	0	0	0	0	1	1
Lexapro has been great as far as balancing out my mood, and making me feel much less anxious and happy overall, However, the drowsiness is becoming a pretty big problem, especially when I am sleeping an average of 12 hours a day (mostly in 4-5 hour naps).	1	0	1	0	1	1
where as I don't really want to do anything now durring the day.	1	0	0	0	0	0
noticed change in a day or two.	0	0	1	0	0	0
First week - Nausea, dizziness, no appetite.	1	0	0	0	0	0
dry mouth, insomnia if taken late in the day, However.	1	0	0	0	0	0
I couldn't leave my house due to anxiety and sometimes couldn't even leave my bedroom.	0	0	0	0	1	0
if you can handle the side effects this drug does wonders.	0	0	1	0	0	0
Intially worked great for pain.	0	0	0	0	1	1
I am afraid of withdrawl.	0	1	0	0	0	0
This drug has worked really well for my depression, and I feel is worth the side effects.	1	0	1	0	1	1
if you stop taking this the withdrawal is awful.	0	1	0	0	0	0
Totally worth any of the minor side effects I feel now.	1	0	1	0	0	0
My emotional range might be a little muted (I don't cry nearly as much), but I still feel like myself.	1	0	1	0	0	0
Heart burn.	1	0	0	0	0	0
Cymbalta definitely helped with the depression.	0	0	1	0	1	1
"dry mouth, headaches, lowered libido, hot flashes, irregular sleep pattern (insomnia like), hitting ""wall"" - brain stops working, poor short term memory, fatigue."	1	0	0	0	0	0
I really hoped this would work so I could get off narcotics for pain but I would rather take the Lortab than this garbage.	0	0	0	1	0	0
DO NOT TAKE THIS DRUG EVER EVER EVER EVER.	0	0	0	0	0	0
I had an increase in Libido along with an inability to orgasm, Extremely Frustrating.	1	0	0	0	0	0
dripping in sweat all the time, extreme fatigue, mucus coming out of my anus, feeling like I have to have a bowel movement several times an hour, constipation, and my depression is the same as when I wasn't on it.	1	0	0	1	1	1
Ongoing side effects include nausea (if I don't eat something with it), sleepiness, and difficulty achieving orgasm.	1	0	0	0	0	0
I was able before last night to take it at bedtime and fall asleep, last night I had to take a tiny bit, less than 1/8 ativan to get to sleep.	0	0	0	0	0	0
I have been off work for 8 months.	1	0	0	0	0	0
I am now on 150mg, with hope that is will just get better.	0	0	0	0	0	0
However, the side effects were too severe; I was taking 30mg I could not endure the total impotence and feared a permanent sexual effect, and I never once felt sleepy while on the medicine.	1	0	0	0	0	0
numb hands and feet during the first 2 weeks, sinus swelling, sligth headaches and nasea.	1	0	0	0	0	0
But, good Luck to the people that it has helped!	0	0	0	0	0	0
Weight gain; supressed sex drive; lots of sleeping.	1	0	0	0	0	0
Ended up having to have a pacemaker put in because of the heart fibrillation.	1	0	0	0	0	0
If I take it mid-morning I want to sleep in the afternoon so I take it first thing in morning.	1	0	0	0	0	0
I have tried almost every antidepressant and this is BY FAR the worst.	0	0	0	0	0	0
Fatique (hard to get out of bed in morning), difficulty (but not impossible) to have orgasm and weight gain.	1	0	0	0	0	0
increase in anxiety, weird floating feeling, sweaty palms, nausea, heartburn, waking up in middle of night for no reason, sexual performance issues.	1	0	0	0	1	0
I was without Cymbalta for about 4 days, and I felt horrible.	0	1	0	0	0	0
It's totally changed my life.	0	0	1	0	0	0
I've been trying my best to bury my depression down,things in my past,such as abuse,rings I did not want to deal with.	0	0	0	0	1	0
I have been taking 75mg dosage for a year now and it has greatly improved my depression.	0	0	1	0	1	1
Thought it was a miracle drug at first!	0	0	1	0	0	0
Difficulty Orgasming, less of a sex drive, DROWSINESS.	1	0	0	0	0	0
Lexapro has been a great drug for me.	0	0	1	0	0	0
I stopped taking it 3 days ago .	0	0	0	0	0	0
I wish I did not take this drug. 	0	0	0	0	0	0
The nightmares and seeing things at night made me opt for another med.	1	0	0	0	0	0
can't stop eating.	1	0	0	0	0	0
my md stopped the 60mg cymbalta cold turkey and switched me to lexapro.	0	0	0	0	0	0
Dry mouth, some sleepiness and excessive yawning.	1	0	0	0	0	0
I'm slowly beginning to have erections again so I expect that eventually the orgasm inability will resolve itself.	1	0	0	0	0	0
I do not think Lexapro gave me any seriously adverse side effects.	1	0	0	0	0	0
These adverse effects are horrific and make it very difficult to function for a period of at least 2 weeks.	0	1	0	0	0	0
When I told her what it did to me, she insisted it could NOT be the drug, insultingly suggesting it was my imagination.	0	0	0	0	0	0
It has helped me a lot more than earlier meds.	0	0	1	0	0	0
Numbness diminished after stopping the medicine & starting a new anti-depressant.	0	0	0	0	0	0
Slight headache, upset stomach, decreased libidio but able to climax, slight increase in anxiety in the begining, increased dreaming.	1	0	0	1	1	1
Sexual dysfunction, no orgasm, very low libido, persistent brain fog.	1	0	0	0	0	0
I have been on Avanza (60mg) for about 18 months, and the doctor recently recommended adding 75mg of Efexor in the morning, and reducing the Avanza to 30mg at night, First day (Wednesday) was fine, second day (Thursday) i started getting anxiety attacks every couple of hours, leading up to around lunchtime when i found myself to be extremely agitated and in a permanent state of anxiety, the likes of which i have never experienced before .	1	0	1	1	0	0
(I've taken Wellbutrin, Lexapro and Paxil in the past with mexed results.)	0	0	0	0	0	0
not cold chills), TMJ (from clenching jaw at night).	1	0	0	0	0	0
Only major side effect was inability to achieve orgasm which I personally found intolerable.	1	0	0	0	0	0
When I first started Cymbalta (30mg) I had a major decrease in my appetite and a lot of trouble sleeping.	1	0	0	0	0	0
If I you have any questions what so ever dont hesitate to e-mail me.	0	0	0	0	0	0
I had terrible panic and anxiety.	1	0	0	0	0	0
To add to the constant emotional upset, I can now attribute Cymbalta to frustrating memory lapses and a dramatic compromise in my cognitive abilities which I had mistakenly blamed on my pain medication.	1	0	0	0	0	0
I don't have the night sweats or fits of rage anymore.	0	0	1	0	1	1
doctor wants me to go up to 20mg, but i'm not sure about that.	0	0	0	0	0	0
I'd sweat so much, I had to change my clothes a few times a day.	1	0	0	0	0	0
i came off this drug successfully 2 years ago.	0	0	0	0	0	0
night sweats, insomnia but when I did fall asleep vivid dreams, teeth clenching, decreased motivation, irratibility.	1	0	0	0	0	0
Works well for depression and anxiety.	0	0	1	0	1	1
Changed to inexpensive Prozac without and changes noted, except in my pocketbook.	0	0	0	0	0	0
However when I did go out I was too numb to the world to have any panic attacks or jitters.	1	0	0	0	0	0
I am planning to switch back to  Wellbutrin SR as soon as I can get to my doctor.	0	0	0	0	0	0
Thought most side effects would be gone.	1	0	0	0	0	0
Increased memory of dreams (waking during REM cycle) and thus constant tiredness.	1	0	0	0	0	0
Doctor mentioned me being on the cymbalta for about a year.	0	0	0	0	0	0
weight gain, sexual side effects, extremely unhappy with all of these side effects.	1	0	0	0	0	0
I have been on Cymbalta for almost a week and have been in bed the entire time.	1	0	0	0	0	0
That's just my opinion.	0	0	0	0	0	0
Sometimes feel JOY - dancing around the house, energetic, feel good about myself, most times just feel balanced, calm.	0	0	1	0	0	0
I have been on it for a year now.	0	0	0	0	0	0
I thought I could deal with it but after 4 months, I am feeling the exhaustion of not getting full nights' sleep.	1	0	0	0	0	0
I have tried being on Effexor for a while, however, that drug caused nausea and increased suicidal thoughts.	0	0	0	0	1	1
Lexipro actually made me feel worse.	0	0	0	0	0	0
I am still on 25mg of Zoloft b/c it is IMPOSSIBLE to come off of.	0	1	0	0	0	0
I may switch to another medication (or raise my dose) if the effect continues to decline.	0	0	0	0	0	0
Works great for me	0	0	1	0	0	0
I had a previous bad experience with Zoloft 10 yrs ago when a dr. misdiagnosed my hypothryroidism for depresssion instead.	0	0	0	0	1	1
I tend to sleep longer in the morning.	1	0	0	0	0	0
Cymbalta has been literally a miracle drug for me.	0	0	1	0	0	0
Sleepiness Dizziness Constipation Raised blood pressure Fatigue	1	0	0	0	0	0
At that dosage I was so tired and irritable.	1	0	0	0	0	0
Then I condidered not breastfeeding and taking an antidepressant.	0	0	0	0	0	0
A female friend had the same experience after 3 months.	0	0	0	0	0	0
I do not envy those who want to come off this drug but are afraid to.	0	0	0	0	0	0
Please contact me if you also have cold symptoms and you think it's from the cymbalta.	0	0	0	0	0	0
I have thick long dark hair and am devastated, Horrible drug.	0	0	0	0	0	0
I have sweats and then freeze.	0	1	0	0	0	0
Have not seen major improvements yet.	0	0	0	1	0	0
One month ago at my doctor's appointment, he said that hair loss is not a side effect and to continue the Lexapro.	0	0	0	0	0	0
I was constantly drinking water and had to have a bottle by my side at all times, it was just incredibly uncomfortable.	1	0	0	0	0	0
I MOVE TO FAST AND I WANT TO HUREL.	0	1	0	0	0	0
Not near as good as Lexapro was when I first started taking it.	0	0	0	0	0	0
I've reevaluated everything based on this experience.	0	0	0	0	0	0
This medication saved my life.	0	0	1	0	0	0
Really quite amazing.	0	0	1	0	0	0
At first, lots; after a few weeks, only reduced sex drive.	1	0	0	0	0	0
Some people probably do need to be on it forever, but many do not.	0	0	0	0	0	0
Apparently I refused help because I thought they (my parents, and later, the nurses at ER) were trying to poison me.	0	0	0	0	0	0
Very Sleepy throughout the day,nauseous,pain actually got worse,could not sleep good at night, WITHDRAWEL EFFECTS ONLY AFTER TAKING FOR 10 DAYS!	1	1	0	1	0	0
I take it at night and any time I miss a dose, I tend to have very vivid dreams and night sweats.	0	1	0	0	0	0
Side effects have relented a bit into the second month.	1	0	0	0	0	0
I wanted him away from me as far as possible.	0	0	0	0	1	0
Took the med for only 3 days and the first night, I think I got a total of 2 hours of sleep.	1	0	0	0	0	0
Can get very turned on but just no release!	1	0	0	0	0	0
Anything over and it does not help(but I see many take it at higher dosage and my psych.	0	0	0	1	0	0
Then I got lazy and wasn't consistent about taking it and whenever I tried to take it again I'd deal with horrible nausea, so I weaned off.	1	0	0	0	0	0
To me it feels like you are feverish and it lasted maybe 5-6 weeks, Let's not be too dramatic here .	0	1	0	0	0	0
A GODSEND.	0	0	0	0	0	0
Does anyone know?	0	0	0	0	0	0
just more interesting.	0	0	0	0	0	0
night sweats, trouble sleeping, heart racing, nervousness, weightloss but all of these gone away after a few weeks.	1	0	0	0	0	0
Getting off of Cymbalta has been very difficult.	0	1	0	0	0	0
yawning, spaciness, dizziness, insomnia, affected my impulse control, increased appetite, headache.	1	0	0	0	0	0
